date,Brazil
2/26/20,1.0
2/27/20,1.0
2/28/20,1.0
2/29/20,2.0
3/1/20,2.0
3/2/20,2.0
3/3/20,2.0
3/4/20,4.0
3/5/20,4.0
3/6/20,13.0
3/7/20,13.0
3/8/20,20.0
3/9/20,25.0
3/10/20,31.0
3/11/20,38.0
3/12/20,52.0
3/13/20,151.0
3/14/20,151.0
3/15/20,162.0
3/16/20,200.0
3/17/20,321.0
3/18/20,372.0
3/19/20,621.0
3/20/20,793.0
3/21/20,1021.0
3/22/20,1546.0
3/23/20,1924.0
3/24/20,2247.0
3/25/20,2554.0
3/26/20,2985.0
3/27/20,3417.0
3/28/20,3904.0
3/29/20,4256.0
3/30/20,4579.0
3/31/20,5717.0
4/1/20,6836.0
4/2/20,8044.0
4/3/20,9056.0
4/4/20,10360.0
4/5/20,11130.0
4/6/20,12161.0
4/7/20,14034.0
4/8/20,16170.0
4/9/20,18092.0
4/10/20,19638.0
4/11/20,20727.0
4/12/20,22192.0
4/13/20,23430.0
4/14/20,25262.0
4/15/20,28320.0
4/16/20,30425.0
4/17/20,33682.0
4/18/20,36658.0
4/19/20,38654.0
4/20/20,40743.0
4/21/20,43079.0
4/22/20,45757.0
4/23/20,50036.0
4/24/20,54043.0
4/25/20,59324.0
4/26/20,63100.0
4/27/20,67446.0
4/28/20,73235.0
4/29/20,79685.0
4/30/20,87187.0
5/1/20,92202.0
5/2/20,97100.0
5/3/20,101826.0
5/4/20,108620.0
5/5/20,115455.0
5/6/20,126611.0
5/7/20,135773.0
5/8/20,146894.0
5/9/20,156061.0
5/10/20,162699.0
5/11/20,169594.0
5/12/20,178214.0
5/13/20,190137.0
5/14/20,203165.0
5/15/20,220291.0
5/16/20,233511.0
5/17/20,241080.0
5/18/20,255368.0
5/19/20,271885.0
5/20/20,291579.0
5/21/20,310087.0
5/22/20,330890.0
5/23/20,347398.0
5/24/20,363211.0
5/25/20,374898.0
5/26/20,391222.0
5/27/20,411821.0
5/28/20,438238.0
5/29/20,465166.0
5/30/20,498440.0
5/31/20,514849.0
6/1/20,526447.0
6/2/20,555383.0
6/3/20,584016.0
6/4/20,614941.0
6/5/20,645771.0
6/6/20,672846.0
6/7/20,691758.0
6/8/20,707412.0
6/9/20,739503.0
6/10/20,772416.0
6/11/20,802828.0
6/12/20,828810.0
6/13/20,850514.0
6/14/20,867624.0
6/15/20,888271.0
6/16/20,923189.0
6/17/20,955377.0
6/18/20,978142.0
6/19/20,1032913.0
6/20/20,1067579.0
6/21/20,1083341.0
6/22/20,1106470.0
6/23/20,1145906.0
6/24/20,1188631.0
6/25/20,1228114.0
6/26/20,1274974.0
6/27/20,1313667.0
6/28/20,1344143.0
6/29/20,1368195.0
6/30/20,1402041.0
7/1/20,1448753.0
7/2/20,1496858.0
7/3/20,1539081.0
7/4/20,1577004.0
7/5/20,1603055.0
7/6/20,1623284.0
7/7/20,1668589.0
7/8/20,1713160.0
7/9/20,1755779.0
7/10/20,1800827.0
7/11/20,1839850.0
7/12/20,1864681.0
7/13/20,1884967.0
7/14/20,1926824.0
7/15/20,1966748.0
7/16/20,2012151.0
7/17/20,2046328.0
7/18/20,2074860.0
7/19/20,2098389.0
7/20/20,2118646.0
7/21/20,2159654.0
7/22/20,2227514.0
7/23/20,2287475.0
7/24/20,2343366.0
7/25/20,2394513.0
7/26/20,2419091.0
7/27/20,2442375.0
7/28/20,2483191.0
7/29/20,2552265.0
7/30/20,2610102.0
7/31/20,2662485.0
8/1/20,2707877.0
8/2/20,2733677.0
8/3/20,2750318.0
8/4/20,2801921.0
8/5/20,2859073.0
8/6/20,2912212.0
8/7/20,2962442.0
8/8/20,3012412.0
8/9/20,3035422.0
8/10/20,3057470.0
8/11/20,3109630.0
8/12/20,3164785.0
8/13/20,3224876.0
8/14/20,3275520.0
8/15/20,3317096.0
8/16/20,3340197.0
8/17/20,3359570.0
8/18/20,3407354.0
8/19/20,3456652.0
8/20/20,3501975.0
8/21/20,3532330.0
8/22/20,3582362.0
8/23/20,3605783.0
8/24/20,3622861.0
8/25/20,3669995.0
8/26/20,3717156.0
8/27/20,3761391.0
8/28/20,3804803.0
8/29/20,3846153.0
8/30/20,3862311.0
8/31/20,3908272.0
9/1/20,3950931.0
9/2/20,3997865.0
9/3/20,4041638.0
9/4/20,4091801.0
9/5/20,4123000.0
9/6/20,4137521.0
9/7/20,4147794.0
9/8/20,4162073.0
9/9/20,4197889.0
9/10/20,4238446.0
9/11/20,4282164.0
9/12/20,4315687.0
9/13/20,4330455.0
9/14/20,4345610.0
9/15/20,4382263.0
9/16/20,4419083.0
9/17/20,4455386.0
9/18/20,4495183.0
9/19/20,4528240.0
9/20/20,4544629.0
9/21/20,4558040.0
9/22/20,4591364.0
9/23/20,4591364.0
9/24/20,4657702.0
9/25/20,4689613.0
9/26/20,4717991.0
9/27/20,4732309.0
9/28/20,4745464.0
9/29/20,4777522.0
9/30/20,4810935.0
10/1/20,4847092.0
10/2/20,4847092.0
10/3/20,4906833.0
10/4/20,4915289.0
10/5/20,4927235.0
10/6/20,4969141.0
10/7/20,5000694.0
10/8/20,5028444.0
10/9/20,5055888.0
10/10/20,5082637.0
10/11/20,5094979.0
10/12/20,5103408.0
10/13/20,5113628.0
10/14/20,5140863.0
10/15/20,5169386.0
10/16/20,5200300.0
10/17/20,5224362.0
10/18/20,5224362.0
10/19/20,5250727.0
10/20/20,5273954.0
10/21/20,5298772.0
10/22/20,5323630.0
10/23/20,5353656.0
10/24/20,5380635.0
10/25/20,5394128.0
10/26/20,5409854.0
