,US
12/21/20,18199332
12/22/20,18401302
12/23/20,18627081
12/24/20,18831968
12/25/20,18940653
12/26/20,19159645
12/27/20,19314639
12/28/20,19481322
12/29/20,19683018
12/30/20,19905956
12/31/20,20164067
1/1/21,20330328
1/2/21,20626207
1/3/21,20829857
1/4/21,21011506
1/5/21,21242761
1/6/21,21499621
1/7/21,21788233
1/8/21,22091695
1/9/21,22351229
1/10/21,22564605
1/11/21,22775442
1/12/21,22994343
1/13/21,23224184
1/14/21,23462228
1/15/21,23709253
1/16/21,23917886
1/17/21,24094475
1/18/21,24235558
1/19/21,24399844
1/20/21,24585238
1/21/21,24777565
1/22/21,24967093
1/23/21,25141956
1/24/21,25279790
1/25/21,25421908
1/26/21,25566690
1/27/21,25721825
1/28/21,25889261
1/29/21,26055108
1/30/21,26200792
1/31/21,26316221
2/1/21,26445589
2/2/21,26559461
2/3/21,26682573
2/4/21,26806501
2/5/21,26938161
2/6/21,27049114
2/7/21,27140997
2/8/21,27226006
2/9/21,27320601
2/10/21,27416433
2/11/21,27522736
2/12/21,27622766
2/13/21,27711620
2/14/21,27777969
2/15/21,27832612
2/16/21,27891215
2/17/21,27961284
2/18/21,28032640
2/19/21,28110825
2/20/21,28184232
2/21/21,28242128
2/22/21,28296967
2/23/21,28368981
2/24/21,28443992
2/25/21,28522050
2/26/21,28600784
2/27/21,28666849
2/28/21,28718716
3/1/21,28773204
3/2/21,28830270
3/3/21,28897419
3/4/21,28965951
3/5/21,29032816
3/6/21,29092111
3/7/21,29134177
3/8/21,29178490
3/9/21,29234296
3/10/21,29292529
3/11/21,29355425
3/12/21,29417498
3/13/21,29471090
3/14/21,29509942
3/15/21,29564710
3/16/21,29619091
3/17/21,29678578
3/18/21,29739103
3/19/21,29801168
3/20/21,29858190
3/21/21,29893168
3/22/21,29942649
3/23/21,29995948
3/24/21,30083069
3/25/21,30151045
3/26/21,30228590
3/27/21,30290813
3/28/21,30337167
3/29/21,30404464
3/30/21,30465901
3/31/21,30532873
4/1/21,30612061
4/2/21,30683910
4/3/21,30748157
4/4/21,30784511
4/5/21,30857959
4/6/21,30919103
4/7/21,30994091
4/8/21,31074343
4/9/21,31158680
4/10/21,31227974
4/11/21,31274417
4/12/21,31341375
4/13/21,31420519
4/14/21,31495835
4/15/21,31569745
4/16/21,31650122
4/17/21,31704283
4/18/21,31747166
4/19/21,31813340
4/20/21,31874260
4/21/21,31938084
4/22/21,32005074
4/23/21,32067454
4/24/21,32121647
4/25/21,32155621
4/26/21,32201281
4/27/21,32252014
4/28/21,32307107
4/29/21,32366021
4/30/21,32424181
5/1/21,32470841
5/2/21,32500903
5/3/21,32549674
5/4/21,32590474
5/5/21,32636178
5/6/21,32683133
5/7/21,32731240
5/8/21,32765759
5/9/21,32787859
5/10/21,32823011
5/11/21,32857072
5/12/21,32893265
5/13/21,32931794
5/14/21,32973657
5/15/21,33003267
5/16/21,33020708
5/17/21,33048479
5/18/21,33076276
5/19/21,33105784
5/20/21,33135628
5/21/21,33164179
5/22/21,33184753
5/23/21,33198225
5/24/21,33222669
5/25/21,33245759
5/26/21,33270292
5/27/21,33297441
5/28/21,33319364
5/29/21,33331982
5/30/21,33338954
5/31/21,33344969
6/1/21,33366765
6/2/21,33383961
6/3/21,33403066
6/4/21,33420200
6/5/21,33434806
6/6/21,33440558
6/7/21,33455461
6/8/21,33468543
6/9/21,33487532
6/10/21,33501896
6/11/21,33526730
6/12/21,33535494
6/13/21,33540758
6/14/21,33552904
6/15/21,33563804
6/16/21,33576381
6/17/21,33587004
6/18/21,33608369
6/19/21,33616877
6/20/21,33621379
6/21/21,33632971
6/22/21,33643836
6/23/21,33656994
6/24/21,33670656
6/25/21,33694992
6/26/21,33703705
6/27/21,33708017
6/28/21,33722553
6/29/21,33729336
6/30/21,33745659
7/1/21,33760037
7/2/21,33789416
7/3/21,33794129
7/4/21,33797953
7/5/21,33806788
7/6/21,33830198
7/7/21,33852832
7/8/21,33871861
7/9/21,33919352
7/10/21,33927772
7/11/21,33938925
7/12/21,33972540
7/13/21,33998932
7/14/21,34032101
7/15/21,34062009
7/16/21,34139489
7/17/21,34151374
7/18/21,34171349
7/19/21,34223470
7/20/21,34264041
7/21/21,34314626
7/22/21,34369292
7/23/21,34488687
7/24/21,34513868
7/25/21,34539502
7/26/21,34626025
7/27/21,34694769
7/28/21,34764209
7/29/21,34843499
7/30/21,35031570
7/31/21,35064230
8/1/21,35107168
8/2/21,35227384
8/3/21,35330584
8/4/21,35427253
8/5/21,35538176
8/6/21,35793471
8/7/21,35842552
8/8/21,35870436
8/9/21,36050171
8/10/21,36171381
8/11/21,36327638
8/12/21,36469834
8/13/21,36699678
8/14/21,36749110
8/15/21,36791184
8/16/21,37010631
8/17/21,37163446
8/18/21,37322070
8/19/21,37479308
8/20/21,37724994
8/21/21,37791526
8/22/21,37827905
8/23/21,38065323
8/24/21,38222448
8/25/21,38391880
8/26/21,38576323
8/27/21,38819898
8/28/21,38881168
8/29/21,38923484
8/30/21,39182772
8/31/21,39354047
9/1/21,39556301
9/2/21,39731381
9/3/21,39966975
9/4/21,40036360
9/5/21,40080323
9/6/21,40158384
9/7/21,40423813
9/8/21,40606844
9/9/21,40766963
9/10/21,40995170
9/11/21,41064377
9/12/21,41104176
9/13/21,41356230
9/14/21,41502413
9/15/21,41672989
9/16/21,41828499
9/17/21,42037370
9/18/21,42097851
9/19/21,42137372
9/20/21,42332259
9/21/21,42453913
9/22/21,42587041
9/23/21,42713514
9/24/21,42890418
9/25/21,42941286
9/26/21,42989358
9/27/21,43158738
9/28/21,43270117
9/29/21,43393534
9/30/21,43503491
10/1/21,43656368
10/2/21,43698857
10/3/21,43739435
10/4/21,43894399
10/5/21,43991776
10/6/21,44102365
10/7/21,44202908
10/8/21,44329383
10/9/21,44359825
10/10/21,44396026
10/11/21,44500485
10/12/21,44606855
10/13/21,44728427
10/14/21,44814805
10/15/21,44924603
10/16/21,44959223
10/17/21,44990339
10/18/21,45095100
10/19/21,45176047
10/20/21,45267502
10/21/21,45346399
10/22/21,45441551
10/23/21,45470428
10/24/21,45487857
10/25/21,45604220
10/26/21,45672931
10/27/21,45773827
10/28/21,45851378
10/29/21,45944956
10/30/21,45976585
10/31/21,46007580
11/1/21,46123205
11/2/21,46194314
11/3/21,46278892
11/4/21,46360717
11/5/21,46456800
11/6/21,46489700
11/7/21,46525017
11/8/21,46637354
11/9/21,46717677
11/10/21,46812696
11/11/21,46868214
11/12/21,47014759
11/13/21,47055763
11/14/21,47086117
11/15/21,47225248
11/16/21,47313095
11/17/21,47424824
11/18/21,47535172
11/19/21,47661037
11/20/21,47702697
11/21/21,47740610
11/22/21,47891371
11/23/21,47984089
11/24/21,48095733
11/25/21,48128487
11/26/21,48179798
11/27/21,48204537
11/28/21,48245644
11/29/21,48443057
11/30/21,48560532
12/1/21,48699138
12/2/21,48837582
12/3/21,48991240
12/4/21,49052520
12/5/21,49100155
12/6/21,49282515
12/7/21,49394625
12/8/21,49544295
12/9/21,49664988
12/10/21,49833964
12/11/21,49885157
12/12/21,49933337
12/13/21,50122435
12/14/21,50236542
12/15/21,50378175
12/16/21,50516465
12/17/21,50705659
12/18/21,50776013
12/19/21,50846828
12/20/21,51100782
