date,India
8/10/20,45257
8/11/20,46091
8/12/20,47033
8/13/20,48040
8/14/20,49036
8/15/20,49980
8/16/20,50921
8/17/20,51797
8/18/20,52888
8/19/20,53866
8/20/20,54849
8/21/20,55794
8/22/20,56706
8/23/20,57542
8/24/20,58390
8/25/20,59357
8/26/20,60472
8/27/20,61529
8/28/20,62550
8/29/20,63498
8/30/20,64469
8/31/20,65288
9/1/20,66333
9/2/20,67376
9/3/20,68472
9/4/20,69561
9/5/20,70626
9/6/20,71642
9/7/20,72775
9/8/20,73890
9/9/20,75062
9/10/20,76271
9/11/20,77472
9/12/20,78586
9/13/20,79722
9/14/20,80776
9/15/20,82066
9/16/20,83198
9/17/20,84372
9/18/20,85619
9/19/20,86752
9/20/20,87882
9/21/20,88935
9/22/20,90020
9/23/20,91149
9/24/20,92290
9/25/20,93379
9/26/20,94503
9/27/20,95542
9/28/20,96318
9/29/20,97497
9/30/20,98678
10/1/20,99773
10/2/20,100842
10/3/20,101782
10/4/20,102685
10/5/20,103569
10/6/20,104555
10/7/20,105526
10/8/20,106490
10/9/20,107416
10/10/20,108334
10/11/20,109150
10/12/20,109856
10/13/20,110586
10/14/20,111266
10/15/20,112161
10/16/20,112998
10/17/20,114031
10/18/20,114610
10/19/20,115197
10/20/20,115914
10/21/20,116616
10/22/20,117306
10/23/20,117956
10/24/20,118534
10/25/20,119014
10/26/20,119502
10/27/20,120010
10/28/20,120527
10/29/20,121090
10/30/20,121641
10/31/20,122111
11/1/20,122607
11/2/20,123097
11/3/20,123611
11/4/20,124315
11/5/20,124985
11/6/20,125562
11/7/20,126121
11/8/20,126611
11/9/20,127059
11/10/20,127571
11/11/20,128121
11/12/20,128668
11/13/20,129188
11/14/20,129635
11/15/20,130070
11/16/20,130519
11/17/20,130993
11/18/20,131578
11/19/20,132162
11/20/20,132726
11/21/20,133227
11/22/20,133738
11/23/20,134218
11/24/20,134699
11/25/20,135223
11/26/20,135715
11/27/20,136200
11/28/20,136696
11/29/20,137139
11/30/20,137621
12/1/20,138122
12/2/20,138648
12/3/20,139188
12/4/20,139700
12/5/20,140182
12/6/20,140573
12/7/20,140958
12/8/20,141360
12/9/20,141772
12/10/20,142185
12/11/20,142628
12/12/20,143019
12/13/20,143355
12/14/20,143709
12/15/20,144096
12/16/20,144451
12/17/20,144789
12/18/20,145136
12/19/20,145477
12/20/20,145810
12/21/20,146111
12/22/20,146444
12/23/20,146756
12/24/20,147092
12/25/20,147343
12/26/20,147622
12/27/20,147901
12/28/20,148153
12/29/20,148439
12/30/20,148738
12/31/20,148994
1/1/21,149218
1/2/21,149435
1/3/21,149649
1/4/21,149850
1/5/21,150114
1/6/21,150336
1/7/21,150570
1/8/21,150570
1/9/21,150999
1/10/21,151160
1/11/21,151327
1/12/21,151529
1/13/21,151727
1/14/21,151918
1/15/21,152093
1/16/21,152274
1/17/21,152419
1/18/21,152556
1/19/21,152718
1/20/21,152869
1/21/21,153032
1/22/21,153184
1/23/21,153339
1/24/21,153470
1/25/21,153587
1/26/21,153724
1/27/21,153847
1/28/21,154010
1/29/21,154147
1/30/21,154274
